token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
68191,ASHOKLEY27JAN26192.5CE,ASHOKLEY,27JAN2026,19250.000000,5000,OPTSTK,NFO,1.000000
68200,ASHOKLEY27JAN26197.5PE,ASHOKLEY,27JAN2026,19750.000000,5000,OPTSTK,NFO,1.000000
68434,360ONE27JAN261260CE,360ONE,27JAN2026,126000.000000,500,OPTSTK,NFO,5.000000
68454,BAJFINANCE27JAN26800PE,BAJFINANCE,27JAN2026,80000.000000,750,OPTSTK,NFO,5.000000
68458,BAJFINANCE27JAN26840PE,BAJFINANCE,27JAN2026,84000.000000,750,OPTSTK,NFO,5.000000
68479,BAJFINANCE27JAN261060CE,BAJFINANCE,27JAN2026,106000.000000,750,OPTSTK,NFO,5.000000
68487,BAJFINANCE27JAN261100CE,BAJFINANCE,27JAN2026,110000.000000,750,OPTSTK,NFO,5.000000
68769,BANDHANBNK27JAN26155CE,BANDHANBNK,27JAN2026,15500.000000,3600,OPTSTK,NFO,1.000000
68773,BANDHANBNK27JAN26165CE,BANDHANBNK,27JAN2026,16500.000000,3600,OPTSTK,NFO,1.000000
68777,BANDHANBNK27JAN26175CE,BANDHANBNK,27JAN2026,17500.000000,3600,OPTSTK,NFO,1.000000
68782,BANDHANBNK27JAN26185PE,BANDHANBNK,27JAN2026,18500.000000,3600,OPTSTK,NFO,1.000000
68866,ABB27JAN264650PE,ABB,27JAN2026,465000.000000,125,OPTSTK,NFO,5.000000
68888,ABB27JAN265750PE,ABB,27JAN2026,575000.000000,125,OPTSTK,NFO,5.000000
69060,BANKBARODA27JAN26260CE,BANKBARODA,27JAN2026,26000.000000,2925,OPTSTK,NFO,5.000000
69104,BANKBARODA27JAN26300PE,BANKBARODA,27JAN2026,30000.000000,2925,OPTSTK,NFO,5.000000
69139,BANKBARODA27JAN26320CE,BANKBARODA,27JAN2026,32000.000000,2925,OPTSTK,NFO,5.000000
69143,BANKBARODA27JAN26330CE,BANKBARODA,27JAN2026,33000.000000,2925,OPTSTK,NFO,5.000000
69177,ABCAPITAL27JAN26385CE,ABCAPITAL,27JAN2026,38500.000000,3100,OPTSTK,NFO,5.000000
69179,ABCAPITAL27JAN26395CE,ABCAPITAL,27JAN2026,39500.000000,3100,OPTSTK,NFO,5.000000
69524,ADANIENSOL27JAN26910CE,ADANIENSOL,27JAN2026,91000.000000,675,OPTSTK,NFO,5.000000
69528,BANKINDIA27JAN26130CE,BANKINDIA,27JAN2026,13000.000000,5200,OPTSTK,NFO,1.000000
69533,ADANIENSOL27JAN26950PE,ADANIENSOL,27JAN2026,95000.000000,675,OPTSTK,NFO,5.000000
69542,ADANIENSOL27JAN261050CE,ADANIENSOL,27JAN2026,105000.000000,675,OPTSTK,NFO,5.000000
69546,ADANIENSOL27JAN261090CE,ADANIENSOL,27JAN2026,109000.000000,675,OPTSTK,NFO,5.000000
69560,BANKINDIA27JAN26132PE,BANKINDIA,27JAN2026,13200.000000,5200,OPTSTK,NFO,1.000000
69662,BANKINDIA27JAN26136PE,BANKINDIA,27JAN2026,13600.000000,5200,OPTSTK,NFO,1.000000
69665,BANKINDIA27JAN26140CE,BANKINDIA,27JAN2026,14000.000000,5200,OPTSTK,NFO,1.000000
69677,BANKINDIA27JAN26152CE,BANKINDIA,27JAN2026,15200.000000,5200,OPTSTK,NFO,1.000000
69678,BANKINDIA27JAN26152PE,BANKINDIA,27JAN2026,15200.000000,5200,OPTSTK,NFO,1.000000
86392,EICHERMOT27JAN266700PE,EICHERMOT,27JAN2026,670000.000000,100,OPTSTK,NFO,5.000000
86438,EICHERMOT27JAN267100CE,EICHERMOT,27JAN2026,710000.000000,100,OPTSTK,NFO,5.000000
69684,BANKINDIA27JAN26158PE,BANKINDIA,27JAN2026,15800.000000,5200,OPTSTK,NFO,1.000000
